tournament_year,match_date,stage,home_team_name,away_team_name,home_team_norm,away_team_norm,home_score,away_score,stadium_name,city,referee_name,attendance,home_manager_name,away_manager_name,tournament_id,match_id,home_team_id,away_team_id,stadium_id,referee_id,home_manager_id,away_manager_id,result,target
1930,1930-07-27,Semi-finals,Uruguay,Yugoslavia,uruguay,yugoslavia,6,1,"Estadio Centenario, Montevideo",Uruguay,Gilberto Rego,79867,Alberto Suppici,Bosko Simonovic,wc_1930,match_7bc4e400915c,team_9142ac5b229c,team_950ebd5e5210,stadium_5ae208d035e0,referee_7c00f883ccae,manager_ae8efb4ca5cc,manager_50a77bcfc752,home_win,0
1930,1930-07-30,Final,Uruguay,Argentina,uruguay,argentina,4,2,"Estadio Centenario, Montevideo",Uruguay,Jean Langenus,68346,Alberto Suppici,Francisco Olazar,wc_1930,match_fd1e3950f667,team_9142ac5b229c,team_2a52adc7b1da,stadium_5ae208d035e0,referee_921f43e400a1,manager_ae8efb4ca5cc,manager_8a04d6748b09,home_win,0
1934,1934-05-27,Round of 16,Germany,Belgium,germany,belgium,5,2,"Giovanni Berta, Florence",Italy,Francesco Mattea,8000,Otto Nerz,Hector Goetinck,wc_1934,match_383c5efe50eb,team_28ef36b35ae8,team_73fa01094ea6,stadium_a8892e7b09fb,referee_d51d12d1fccd,manager_2f09cb7f7c69,manager_be7e1c21c043,home_win,0
1934,1934-05-27,Round of 16,Sweden,Argentina,sweden,argentina,3,2,"Littorale, Bologna",Italy,Eugen Braun,14000,Joszef Nagy,Felipe Pascucci,wc_1934,match_6ca811e84e9c,team_88e52ee42fd0,team_2a52adc7b1da,stadium_799256a6185f,referee_44563b6ef492,manager_50fe938de3e3,manager_55d0a8c58c4c,home_win,0
1934,1934-05-27,Round of 16,Czechoslovakia,Romania,czechoslovakia,romania,2,1,"Littorio, Trieste",Italy,Jean Langenus,9000,Karel Petru,Constantin Radulescu,wc_1934,match_74c59122a63d,team_43c05d43f993,team_89055f975d7d,stadium_98b51eb49ed8,referee_921f43e400a1,manager_9b41188675fe,manager_dfea08ae5bd5,home_win,0
1934,1934-05-27,Round of 16,Hungary,Egypt,hungary,egypt,4,2,"Giorgio Ascarelli, Naples",Italy,Rinaldo Barlassina,9000,Odon Nadas,James Mcrea,wc_1934,match_ab045acfb606,team_3b4bbcb74728,team_4635c9536a61,stadium_2dd6d9f93988,referee_73d0dec62d33,manager_637bdfa990dc,manager_2f347af148b4,home_win,0
1934,1934-05-27,Round of 16,Switzerland,Netherlands,switzerland,netherlands,3,2,"San Siro, Milan",Italy,Ivan Eklind,33000,Henry Mueller,Bob Glendenning,wc_1934,match_b03f50c98733,team_0d9c575f4f02,team_6123486432d2,stadium_33529863745f,referee_6b8d4b9bbfb3,manager_bb18413e315e,manager_c522b29c69af,home_win,0
1934,1934-05-27,Round of 16,Spain,Brazil,spain,brazil,3,1,"Luigi Ferraris, Genoa",Italy,Alfred Birlem,21000,Amadeo Garcia,Luiz Vinhaes,wc_1934,match_cb9d26efe549,team_1747d4b2dd4b,team_6e5fa4d9c48c,stadium_25955bb6e7e2,referee_bca662e242d5,manager_61072a61a0c3,manager_014355b05cd2,home_win,0
1934,1934-05-27,Round of 16,Italy,United States,italy,united states,7,1,"Nazionale PNF, Rome",Italy,Rene Mercet,25000,Vittorio Pozzo,David Gould,wc_1934,match_dd66c4d5fd1e,team_bab4ac375ada,team_152649df347e,stadium_d156ba11a94a,referee_cd3a83fbd77f,manager_47bebc77b4f0,manager_f56c40e93fa2,home_win,0
1934,1934-05-27,Round of 16,Austria,France,austria,france,3,2,"Stadio Benito Mussolini, Turin",Italy,Johannes Van Moorsel,16000,Hugo Meisl,George Kimpton,wc_1934,match_fe6e3d015bed,team_6cd0c266688a,team_e165d4f2174b,stadium_3bcc94b343ec,referee_291be17342f9,manager_6fd3cc613e7d,manager_6b10aa236702,home_win,0
