match_id,tournament_year,match_date,home_team_id,away_team_id,text_available,text_count,combined_pre_match_text,sources,latest_text_time,min_hours_before_match
match_68d4c043cb5f,1950,1950-06-29,team_152649df347e,team_f48861ca24e2,0,0,,,,
match_711f0efcf368,1950,1950-06-29,team_88e52ee42fd0,team_3bafbfd8bf5e,0,0,,,,
match_b941645d85b3,1950,1950-06-29,team_1747d4b2dd4b,team_fd317045cbdc,0,0,,,,
match_d40637a0a05a,1950,1950-07-01,team_6e5fa4d9c48c,team_950ebd5e5210,0,0,,,,
match_1e43b6add829,1950,1950-07-02,team_bab4ac375ada,team_3bafbfd8bf5e,0,0,,,,
match_84578f208f9d,1950,1950-07-02,team_9142ac5b229c,team_76781be1c79d,0,0,,,,
match_969103965da8,1950,1950-07-02,team_fd317045cbdc,team_152649df347e,0,0,,,,
match_db17a38f6890,1950,1950-07-02,team_1747d4b2dd4b,team_f48861ca24e2,0,0,,,,
match_e011fbf1a5a2,1950,1950-07-02,team_0d9c575f4f02,team_4edfc924721a,0,0,,,,
match_77bb43aeb27f,1950,1950-07-09,team_9142ac5b229c,team_1747d4b2dd4b,0,0,,,,
match_d627928b17e9,1950,1950-07-09,team_6e5fa4d9c48c,team_88e52ee42fd0,0,0,,,,
match_38d32390d087,1950,1950-07-13,team_6e5fa4d9c48c,team_1747d4b2dd4b,0,0,,,,
match_71098af2a69b,1950,1950-07-13,team_9142ac5b229c,team_88e52ee42fd0,0,0,,,,
match_71506add1ffe,1950,1950-07-16,team_9142ac5b229c,team_6e5fa4d9c48c,0,0,,,,
match_b365ee434ec7,1950,1950-07-16,team_88e52ee42fd0,team_1747d4b2dd4b,0,0,,,,
match_2d026882269c,1954,1954-06-16,team_6cd0c266688a,team_b0ce0b49f97d,0,0,,,,
match_2e3b1232fe92,1954,1954-06-16,team_950ebd5e5210,team_e165d4f2174b,0,0,,,,
match_7fbea762b993,1954,1954-06-16,team_6e5fa4d9c48c,team_4edfc924721a,0,0,,,,
