model_name,feature_set,accuracy_val,balanced_accuracy_val,macro_f1_val,weighted_f1_val,draw_recall_val,draw_f1_val,accuracy_test,balanced_accuracy_test,macro_f1_test,weighted_f1_test,draw_recall_test,draw_f1_test,best_epoch,best_val_macro_f1_during_training,is_transductive_prototype
gnn_team_match_numeric_text,numeric_text_pca32,0.546875,0.49333333333333335,0.4889582891159557,0.5403219846275128,0.23076923076923078,0.23076923076923078,0.515625,0.4632183908045977,0.45795053717797113,0.5066387655013492,0.2,0.23076923076923078,6,0.4889582891159557,True
gnn_match_numeric_only,numeric_only,0.5625,0.5097435897435897,0.5054300062774639,0.5551480108286252,0.23076923076923078,0.25,0.5,0.48352490421455946,0.477402308441107,0.5042435857321652,0.3333333333333333,0.3333333333333333,52,0.5054300062774639,True
gnn_team_match_numeric_text_meta,numeric_text_pca32_extra,0.578125,0.522051282051282,0.5197050597508263,0.5705329900839053,0.23076923076923078,0.2608695652173913,0.5,0.46206896551724136,0.45319644894112976,0.49377464291028117,0.2,0.23076923076923078,44,0.5197050597508263,True
gnn_team_match_numeric_text_small,numeric_text_pca32,0.515625,0.48205128205128206,0.48284327557988593,0.5234163362774422,0.3076923076923077,0.27586206896551724,0.5625,0.5346743295019157,0.5298598765078091,0.5643607164363136,0.3333333333333333,0.35714285714285715,71,0.48284327557988593,True
