tournament_year,match_date,stage,home_team_name,away_team_name,home_team_norm,away_team_norm,home_score,away_score,stadium_name,city,referee_name,attendance,home_manager_name,away_manager_name,tournament_id,match_id,home_team_id,away_team_id,stadium_id,referee_id,home_manager_id,away_manager_id,result,target,home_fifa_rank,home_fifa_points,home_fifa_previous_points,home_fifa_diff_points,home_fifa_ranking_date,away_fifa_rank,away_fifa_points,away_fifa_previous_points,away_fifa_diff_points,away_fifa_ranking_date,fifa_rank_diff,fifa_points_diff,fifa_momentum_diff,home_better_rank_flag,home_wc_matches_before,home_wc_points_before,home_wc_goals_for_before,home_wc_goals_against_before,home_wc_goal_diff_before,home_wc_wins_before,home_wc_win_rate_before,home_last3_matches,home_last3_points,home_last3_goals_for,home_last3_goals_against,home_last3_goal_diff,home_last3_win_rate,home_last5_matches,home_last5_points,home_last5_goals_for,home_last5_goals_against,home_last5_goal_diff,home_last5_win_rate,home_last10_matches,home_last10_points,home_last10_goals_for,home_last10_goals_against,home_last10_goal_diff,home_last10_win_rate,home_tournament_matches_before,home_tournament_points_before,home_tournament_goals_for_before,home_tournament_goals_against_before,home_tournament_goal_diff_before,home_rest_days,home_first_match_in_tournament,away_wc_matches_before,away_wc_points_before,away_wc_goals_for_before,away_wc_goals_against_before,away_wc_goal_diff_before,away_wc_wins_before,away_wc_win_rate_before,away_last3_matches,away_last3_points,away_last3_goals_for,away_last3_goals_against,away_last3_goal_diff,away_last3_win_rate,away_last5_matches,away_last5_points,away_last5_goals_for,away_last5_goals_against,away_last5_goal_diff,away_last5_win_rate,away_last10_matches,away_last10_points,away_last10_goals_for,away_last10_goals_against,away_last10_goal_diff,away_last10_win_rate,away_tournament_matches_before,away_tournament_points_before,away_tournament_goals_for_before,away_tournament_goals_against_before,away_tournament_goal_diff_before,away_rest_days,away_first_match_in_tournament,text_available,text_count,combined_pre_match_text,sources,latest_text_time,min_hours_before_match
1994,1994-06-17,Group stage,Germany,Bolivia,germany,bolivia,1,0,"Soldier Field, Chicago",United States,Arturo Brizio Carter,63117,Berti Vogts,Xavier Azkargorta Uriarte,wc_1994,match_24ab401684d2,team_28ef36b35ae8,team_76781be1c79d,stadium_21a36eff12d1,referee_082a13461fbe,manager_fd5ff9057421,manager_0610795098b1,home_win,0,3.0,61.0,60.0,1.0,1994-06-30,40.0,36.0,35.0,1.0,1994-06-30,37.0,25.0,0.0,True,12,25,39,27,12,8,0.6666666666666666,3,9,11,3,8,1.0,5,12,21,13,8,0.8,10,19,32,24,8,0.6,0,0,0,0,0,,True,3,0,0,16,-16,0,0.0,3,0,0,16,-16,0.0,3,0,0,16,-16,0.0,3,0,0,16,-16,0.0,0,0,0,0,0,,True,0,0,,,,
1994,1994-06-17,Group stage,Spain,Korea Republic,spain,south korea,2,2,"Cotton Bowl, Dallas",United States,Peter Mikkelsen,56247,Javier Clemente,Ho Kon Kim,wc_1994,match_38ef6f79f047,team_1747d4b2dd4b,team_3c6cfbc2415a,stadium_eb34e2ed62d2,referee_a1c8baf68392,manager_7f77762d181f,manager_49069ba49784,draw,1,6.0,60.0,56.0,4.0,1994-06-30,35.0,39.0,38.0,1.0,1994-06-30,29.0,21.0,3.0,True,32,46,43,38,5,13,0.40625,3,6,6,4,2,0.6666666666666666,5,8,7,5,2,0.4,10,18,17,8,9,0.5,0,0,0,0,0,,True,8,1,5,29,-24,0,0.0,3,0,1,6,-5,0.0,5,1,4,10,-6,0.0,8,1,5,29,-24,0.0,0,0,0,0,0,,True,0,0,,,,
1994,1994-06-18,Group stage,Colombia,Romania,colombia,romania,1,3,"Rose Bowl, Los Angeles",United States,Jamal Al Sharif,91856,Francisco Maturana,Anghel Iordanescu,wc_1994,match_ebe85d2cc918,team_25446782e2cc,team_89055f975d7d,stadium_55473e526b54,referee_af626b23b33d,manager_7f318ef155c5,manager_17ab1b183cef,away_win,2,14.0,53.0,51.0,2.0,1994-06-30,7.0,58.0,55.0,3.0,1994-06-30,-7.0,-5.0,-1.0,False,7,5,9,15,-6,1,0.14285714285714285,3,1,2,4,-2,0.0,5,4,4,9,-5,0.2,7,5,9,15,-6,0.14285714285714285,0,0,0,0,0,,True,12,12,16,20,-4,3,0.25,3,2,2,3,-1,0.0,5,5,6,6,0,0.2,10,9,13,15,-2,0.2,0,0,0,0,0,,True,0,0,,,,
1994,1994-06-18,Group stage,Italy,Republic of Ireland,italy,ireland,0,1,"Giants Stadium, New York/New Jersey",United States,Mario Van Der Ende,75338,Arrigo Sacchi,Jack Charlton,wc_1994,match_f0b250615ce7,team_bab4ac375ada,team_a66f852274a4,stadium_ea3b50eb4835,referee_6ca7ed4a50da,manager_c1b1d1ff8166,manager_b34a03ab4860,away_win,2,2.0,63.0,57.0,6.0,1994-06-30,13.0,54.0,53.0,1.0,1994-06-30,11.0,9.0,5.0,True,54,105,89,54,35,31,0.5740740740740741,3,7,4,2,2,0.6666666666666666,5,13,8,2,6,0.8,10,23,14,7,7,0.7,0,0,0,0,0,,True,5,4,2,3,-1,0,0.0,3,2,1,2,-1,0.0,5,4,2,3,-1,0.0,5,4,2,3,-1,0.0,0,0,0,0,0,,True,0,0,,,,
1994,1994-06-18,Group stage,United States,Switzerland,united states,switzerland,1,1,"Pontiac Silverdome, Detroit",United States,Francisco Oscar Lamolina,73425,Bora Milutinovic,Roy Hodgson,wc_1994,match_fd7cb15508dc,team_152649df347e,team_0d9c575f4f02,stadium_5bbd2e53dda4,referee_12914f0cc93e,manager_a830b9ecc198,manager_65da602e310d,draw,1,21.0,48.0,47.0,1.0,1994-06-30,10.0,56.0,54.0,2.0,1994-06-30,-11.0,-8.0,-1.0,False,10,9,14,29,-15,3,0.3,3,0,2,8,-6,0.0,5,3,5,13,-8,0.2,10,9,14,29,-15,0.3,0,0,0,0,0,,True,18,17,28,44,-16,5,0.2777777777777778,3,0,1,9,-8,0.0,5,0,2,14,-12,0.0,10,6,14,28,-14,0.2,0,0,0,0,0,,True,0,0,,,,
1994,1994-06-19,Group stage,Norway,Mexico,norway,mexico,1,0,"RFK Stadium, Washington Dc",United States,Sandor Puhl,52395,Egil Olsen,Miguel Mejia Baron,wc_1994,match_3897d853493d,team_e6e6854f6b71,team_4edfc924721a,stadium_2237a39dac84,referee_9065f7c560d3,manager_2f7ceb0cc4f0,manager_e9c93a0d83b5,home_win,0,7.0,58.0,56.0,2.0,1994-06-30,14.0,53.0,51.0,2.0,1994-06-30,7.0,5.0,0.0,True,1,0,1,2,-1,0,0.0,1,0,1,2,-1,0.0,1,0,1,2,-1,0.0,1,0,1,2,-1,0.0,0,0,0,0,0,,True,29,24,27,64,-37,6,0.20689655172413793,3,7,3,0,3,0.6666666666666666,5,11,6,2,4,0.6,10,14,10,18,-8,0.4,0,0,0,0,0,,True,0,0,,,,
1994,1994-06-19,Group stage,Belgium,Morocco,belgium,morocco,1,0,"Citrus Bowl, Orlando",United States,Jose Joaquin Torres Cadena,61219,Paul Van Himst,Abdellah Blinda,wc_1994,match_6377cbad0489,team_73fa01094ea6,team_217b6e5f0a09,stadium_1a9be7611e99,referee_ef2a1def22b8,manager_252746548d53,manager_ff3bd2e8ad33,home_win,0,20.0,50.0,44.0,6.0,1994-06-30,28.0,43.0,44.0,-1.0,1994-06-30,8.0,7.0,7.0,True,25,25,33,49,-16,7,0.28,3,3,4,4,0,0.3333333333333333,5,6,8,8,0,0.4,10,14,17,17,0,0.4,0,0,0,0,0,,True,7,6,5,8,-3,1,0.14285714285714285,3,4,3,2,1,0.3333333333333333,5,6,4,3,1,0.2,7,6,5,8,-3,0.14285714285714285,0,0,0,0,0,,True,0,0,,,,
1994,1994-06-19,Group stage,Cameroon,Sweden,cameroon,sweden,2,2,"Rose Bowl, Los Angeles",United States,Alberto Tejada Noriega,93194,Henri Michel,Tommy Svensson,wc_1994,match_d2e0539e728e,team_9621cbb93d1b,team_88e52ee42fd0,stadium_55473e526b54,referee_8f9d3e76ec2d,manager_7ab7b79b68d3,manager_994b34a4de5e,draw,1,27.0,44.0,46.0,-2.0,1994-06-30,3.0,61.0,55.0,6.0,1994-06-30,-24.0,-17.0,-8.0,False,8,12,8,10,-2,3,0.375,3,3,4,8,-4,0.3333333333333333,5,9,7,9,-2,0.6,8,12,8,10,-2,0.375,0,0,0,0,0,,True,31,39,51,52,-1,11,0.3548387096774194,3,0,3,6,-3,0.0,5,0,3,8,-5,0.0,10,7,11,15,-4,0.2,0,0,0,0,0,,True,0,0,,,,
1994,1994-06-20,Group stage,Netherlands,Saudi Arabia,netherlands,saudi arabia,2,1,"RFK Stadium, Washington Dc",United States,Manuel Diaz Vega,50535,Dick Advocaat,Jorge Solari,wc_1994,match_806d967e8ad3,team_6123486432d2,team_5318efec44d1,stadium_2237a39dac84,referee_64fa4e7ee9cd,manager_2f2ff491f9cc,manager_99bc3e004900,home_win,0,3.0,61.0,59.0,2.0,1994-06-30,28.0,43.0,40.0,3.0,1994-06-30,25.0,18.0,-1.0,True,20,30,35,23,12,8,0.4,3,2,2,3,-1,0.0,5,3,4,7,-3,0.0,10,11,15,14,1,0.2,0,0,0,0,0,,True,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,True,0,0,,,,
1994,1994-06-20,Group stage,Brazil,Russia,brazil,russia,2,0,"Stanford Stadium, San Francisco",United States,An Yan Lim Kee Chong,81061,Carlos Alberto Parreira,Pavel Sadyrin,wc_1994,match_d05bcda4412b,team_6e5fa4d9c48c,team_1c625cc86f82,stadium_8962e3727c98,referee_1fa12ef018eb,manager_3fec751e6ad8,manager_7e4ca382e3bd,home_win,0,1.0,65.0,59.0,6.0,1994-06-30,18.0,52.0,50.0,2.0,1994-06-30,17.0,13.0,4.0,True,66,143,148,65,83,44,0.6666666666666666,3,6,2,1,1,0.6666666666666666,5,10,5,3,2,0.6,10,22,16,6,10,0.7,0,0,0,0,0,,True,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,True,0,0,,,,
