model_name,feature_set,accuracy_val,balanced_accuracy_val,macro_f1_val,weighted_f1_val,draw_recall_val,draw_f1_val,accuracy_test,balanced_accuracy_test,macro_f1_test,weighted_f1_test,draw_recall_test,draw_f1_test
ranking_compact_rf,ranking_compact,0.59375,0.5738461538461538,0.5651867512332629,0.5967758985200846,0.46153846153846156,0.4,0.5,0.4779693486590039,0.46903906537297385,0.49777145625300556,0.26666666666666666,0.27586206896551724
numeric_text_rf,combined_numeric_plus_text_embeddings,0.640625,0.5620512820512821,0.5462676298589612,0.6064563983488132,0.15384615384615385,0.23529411764705882,0.578125,0.5517241379310346,0.5538461538461538,0.5769230769230769,0.4,0.46153846153846156
combined_numeric_rf_safe,combined_numeric,0.53125,0.4830769230769231,0.4898722543883835,0.5475009477529639,0.23076923076923078,0.1935483870967742,0.546875,0.550191570881226,0.5389355742296918,0.5522584033613445,0.5333333333333333,0.45714285714285713
ranking_full_rf,ranking_full,0.53125,0.46974358974358976,0.4805451258517592,0.5487771172298707,0.15384615384615385,0.13333333333333333,0.5,0.500191570881226,0.49230769230769234,0.5114182692307692,0.5333333333333333,0.4
combined_numeric_gb_safe,combined_numeric,0.546875,0.48256410256410254,0.4805031446540881,0.5431132075471699,0.15384615384615385,0.16,0.546875,0.5183908045977011,0.517921146953405,0.5490591397849462,0.4,0.3870967741935484
xgboost_combined_numeric,combined_numeric,0.515625,0.4692307692307692,0.4791666666666667,0.5361328125,0.23076923076923078,0.1875,0.5625,0.5298850574712644,0.530586401714397,0.5604361484511982,0.4,0.41379310344827586
combined_numeric_mlp_safe,combined_numeric,0.578125,0.49743589743589745,0.4705882352941176,0.5392156862745098,0.07692307692307693,0.11764705882352941,0.40625,0.36647509578544063,0.34276729559748426,0.3878242924528302,0.06666666666666667,0.1
ranking_full_logreg,ranking_full,0.53125,0.47179487179487184,0.4635090479937058,0.5223210070810385,0.15384615384615385,0.16,0.484375,0.47203065134099614,0.4671739578571876,0.4998991691538276,0.3333333333333333,0.30303030303030304
combined_numeric_histgb_safe,combined_numeric,0.5625,0.4707692307692308,0.452991452991453,0.5412660256410255,0.0,0.0,0.5625,0.5132183908045977,0.5017713365539452,0.543780193236715,0.2,0.2608695652173913
ranking_compact_logreg,ranking_compact,0.484375,0.4430769230769231,0.4515577507598784,0.5033214998100304,0.23076923076923078,0.1875,0.515625,0.4954022988505747,0.4936902904382579,0.5229672230434426,0.4,0.36363636363636365
combined_numeric_logreg,combined_numeric,0.546875,0.4728205128205129,0.4425469267574531,0.5073955649613544,0.07692307692307693,0.10526315789473684,0.4375,0.4157088122605364,0.3903881392637015,0.4263376124437781,0.13333333333333333,0.16666666666666666
numeric_text_graph_mlp,combined_numeric_text_simple_graph,0.5,0.4451282051282051,0.4345191040843215,0.4832633399209486,0.15384615384615385,0.18181818181818182,0.40625,0.3772030651340996,0.36651757945558483,0.4062083469091555,0.13333333333333333,0.15384615384615385
numeric_text_mlp,combined_numeric_plus_text_embeddings,0.515625,0.44461538461538463,0.4303018202389272,0.4952471423579914,0.07692307692307693,0.09523809523809523,0.46875,0.42318007662835244,0.4104143337066069,0.45562418346397904,0.13333333333333333,0.16666666666666666
numeric_text_logreg,combined_numeric_plus_text_embeddings,0.53125,0.4471794871794872,0.40307971014492755,0.48051120923913043,0.0,0.0,0.4375,0.4157088122605364,0.3903881392637015,0.4263376124437781,0.13333333333333333,0.16666666666666666
